"issue number","state","title","body","date created","assignees","labels"
134,"OPEN","Extract Shared Utility Functions and Domain Constants (Eliminate Cross-File Duplication)","## Refactor 2

**Refactor Title:** 

**Problem:**  
Multiple formatting functions, styling mappings, and domain constants are duplicated across 5+ files. This violates DRY and creates divergence risk as the codebase grows.

Specific duplications identified:

| Duplicated Logic | Locations |
|---|---|
| `formatDuration(seconds)` | `CallDetailDrawer.tsx` L46–49, `Search.tsx` L113–117 |
| `topic.replace(/-/g, ' ')` (topic label formatting) | `CallDetailDrawer.tsx` L161, `Search.tsx` L319, `Briefs.tsx` L263, `Overview.tsx` L78, `Exemplars.tsx` L51 + L73 |
| Severity-to-color mapping | `Overview.tsx` L324–339 (inline), `Alerts.tsx` L98–107 (function) |
| Duration display (multiple inconsistent formats: `MM:SS`, `Xm Ys`, `Xm`) | `Search.tsx` L71, `Alerts.tsx` L269, `Exemplars.tsx` L66 + L95 |
| Topics list `['billing', 'shipping', ...]` | `mock-data.ts` L67, `Exemplars.tsx` L14 (subset, inconsistent) |
| `searchCalls` logic | `mock-data.ts` L213–237, `mock-service.ts` L30–66 |

**Current Structure:**

```
frontend/src/lib/utils.ts          → Only contains cn() (6 lines)
frontend/src/lib/mock-data.ts      → Type definitions + data generation + search logic
frontend/src/components/            → Inline formatting functions
frontend/src/pages/                 → Inline formatting functions, duplicated constants
```

**Proposed Refactor:**

1. Create `frontend/src/lib/formatters.ts` with `formatDuration()`, `formatTopicLabel()`, `formatDateShort()`.
2. Create `frontend/src/lib/styles.ts` with `getSeverityColor()`, `getSentimentColor()`.
3. Create `frontend/src/lib/constants.ts` with `TOPICS`, `SENTIMENT_LABELS`, `SEVERITY_LEVELS`.
4. Extract type definitions from `mock-data.ts` into `frontend/src/types/domain.ts`.

**Principle Applied:** DRY (Don't Repeat Yourself) + Single Source of Truth

**Implementation Steps:**

1. Create `frontend/src/lib/formatters.ts` and move `formatDuration` there; add `formatTopicLabel(topic: string)` wrapping the `replace(/-/g, ' ')` pattern.
2. Create `frontend/src/lib/styles.ts` with severity and sentiment styling helpers.
3. Create `frontend/src/types/domain.ts` — move `Agent`, `Call`, `CallSummary`, `Alert`, `DailyMetric` interfaces out of `mock-data.ts`.
4. Create `frontend/src/lib/constants.ts` with the canonical `TOPICS` array.
5. Update all 10+ importing files to use shared utilities.
6. Remove the duplicated `searchCalls` from `mock-data.ts` (keep only the one in the service layer).

**Expected Outcome:**
- One definition of each formatting function, style mapping, and constant.
- Types are importable without pulling in mock data.
- Changing duration display format requires editing one file, not five.
","2026-03-17T20:06:52Z","Mildness10","refactor"
133,"OPEN","Extract a Data Access Layer with a Service Interface (Replace Direct `mockData` Imports)","**Problem:**  
Pages and components import `mockData` directly from `@/lib/mock-data` **and** use `MockService` from `@/lib/mock-service`, creating two competing data access paths with no abstraction boundary. When the team replaces mocks with real API calls, every page that touches `mockData` directly must be rewritten. Additionally, `MockService` itself is tightly coupled to `useAppStore` via `useAppStore.getState()` calls (lines 83, 97–98, 151, 257, 332, 366, 373), meaning the ""service"" layer has a hard dependency on the React store.

**Current Structure:**

| File | Issue |
|------|-------|
| `frontend/src/lib/mock-data.ts` (238 lines) | Exports raw data objects + inline search function + type definitions all in one file |
| `frontend/src/lib/mock-service.ts` (379 lines) | Monolithic service object mixing search, alerting, PDF export, email, coaching tips, and Zustand store access |
| `frontend/src/pages/supervisor/Overview.tsx` L3, L55 | Imports `mockData` directly |
| `frontend/src/pages/supervisor/Search.tsx` L2, L120, L173 | Mixes `MockService` calls with direct `mockData.agents` access |
| `frontend/src/pages/supervisor/Alerts.tsx` | Direct `mockData.alerts`, `mockData.calls` access |
| `frontend/src/pages/agent/Home.tsx` L20 | Direct `mockData.calls` |

**Proposed Refactor:**

1. Define a `DataService` TypeScript interface in a new `frontend/src/services/types.ts` with methods like `searchCalls()`, `getCall()`, `listAlerts()`, `getAgents()`, etc.
2. Create `frontend/src/services/mock-data-service.ts` that implements this interface using current mock data logic.
3. Create a React context provider (`DataServiceProvider`) that injects the service.
4. Replace all direct `mockData` and `MockService` imports in pages with a `useDataService()` hook.
5. Remove `useAppStore.getState()` calls from the service — pass store actions as callbacks or have the page layer handle state mutations.

**Principle Applied:** Dependency Inversion Principle + Separation of Concerns — Components depend on an abstraction (interface), not a concrete mock implementation. When real APIs are ready, swap the implementation without touching any page.

**Implementation Steps:**

1. Create `frontend/src/services/types.ts` defining `IDataService` with method signatures extracted from `MockService`.
2. Create `frontend/src/services/mock-data-service.ts` that implements `IDataService`, moving logic from `mock-service.ts`.
3. Create `frontend/src/services/DataServiceProvider.tsx` using React context.
4. Create a `useDataService()` hook.
5. Refactor all pages (`Overview`, `Search`, `Alerts`, `Briefs`, `Home`, `Performance`, `Exemplars`) to use `useDataService()` instead of direct imports.
6. Move store mutations (alert updates, brief additions, etc.) out of the service and into the calling page/component.
7. Delete or deprecate the raw `mockData` export (keep types in a separate file).

**Expected Outcome:**
- Zero direct data imports in pages — all data flows through one swappable interface.
- Adding a real `ApiDataService` later requires implementing a single interface.
- Services become unit-testable without Zustand store mocking.","2026-03-17T20:05:45Z","Mikito-Coder","refactor"
132,"OPEN","Decouple Export Logic from MockService into Standalone Utilities","**Problem:**  
`MockService` in `mock-service.ts` bundles unrelated responsibilities: data querying, store mutation, PDF generation, CSV export, and email sending. The PDF export (lines 181–254) depends on `jsPDF` and `html2canvas` — heavyweight browser-specific libraries that have nothing to do with data access. The CSV export (lines 155–179) is a pure utility function embedded in a mock data service.

This means:
- Import cost: any page importing `MockService` pulls in PDF/CSV libraries.
- Testing: you cannot test search logic without mocking PDF dependencies.
- Reuse: CSV export cannot be used from other contexts without importing the entire mock service.

**Current Structure:**

```
frontend/src/lib/mock-service.ts
  Lines 1-66:      Search logic
  Lines 68-99:     Alert queries + store mutations
  Lines 101-153:   Brief generation + store mutation
  Lines 155-254:   CSV export + PDF export (3 methods)
  Lines 256-258:   Email mock + store mutation
  Lines 261-378:   Agent performance, exemplars, tips
```

**Proposed Refactor:**

```
frontend/src/lib/export/
  csv.ts          → exportCSV() pure utility
  pdf.ts          → exportPDF(), exportPDFText() utilities
  index.ts        → barrel export

frontend/src/lib/mock-service.ts  → reduced to data access only
```

**Principle Applied:** Single Responsibility Principle + Interface Segregation

**Implementation Steps:**

1. Create `frontend/src/lib/export/csv.ts` — move `exportCSV` as a standalone function.
2. Create `frontend/src/lib/export/pdf.ts` — move `exportPDF` and `exportPDFText`.
3. Create `frontend/src/lib/export/index.ts` for barrel exports.
4. Update `Search.tsx` and `Briefs.tsx` to import from `@/lib/export` instead of `MockService`.
5. Remove the export methods from `MockService`.
6. Similarly extract `sendEmailMock` into its own utility if email functionality persists.

**Expected Outcome:**
- `MockService` becomes purely about data access (~200 lines).
- Export utilities are tree-shakeable — pages that don't export PDF don't bundle `jsPDF`.
- Export functions become independently testable.
","2026-03-17T19:54:09Z","iniayolawal","refactor"
129,"OPEN","Lab 3 - AI-Assisted Refactoring with Cursor (Individual)","# Architectural Audit Report
## Repository: aws-connect-insight

**Stack:** React + TypeScript (Vite) | Python (FastAPI) | Supabase  
**State:** Prototype / early architecture (Lovable.dev origin)


---

## Refactor 5

**Refactor Title:** Decompose `generate_transcripts.py` into a Modular Package

**Problem:**  
`backend/scripts/generate_transcripts.py` is **876 lines** — the largest source file in the project — and contains at least 6 distinct responsibilities:

1. CLI argument parsing
2. Environment/config loading (custom `load_dotenv` reimplementation)
3. OpenAI API client logic (request building, response parsing)
4. Prompt engineering (template construction)
5. Sentiment scoring (keyword lexicons, rule-based scoring)
6. File I/O (JSON reading/writing, file organization)

It also has hardcoded values throughout: `RISK_CLASSES`, `SENTIMENT_LABELS`, `DEFAULT_TOPICS`, `HIGH_KEYWORDS`, `MILD_KEYWORDS`, `POSITIVE_LEXICON`, `NEGATIVE_LEXICON`, API URL `https://api.openai.com/v1/responses`, model name `gpt-4.1-mini`.

**Current Structure:**

```
backend/scripts/
  generate_transcripts.py   (876 lines — monolith)
```

**Proposed Refactor:**

```
backend/scripts/
  generate_transcripts/
    __init__.py
    __main__.py             → CLI entry point (argparse)
    config.py               → Constants, env loading, risk/sentiment config
    openai_client.py        → API call wrapper, response extraction
    prompt_builder.py       → Prompt template construction
    sentiment.py            → Lexicon-based sentiment scoring
    io.py                   → JSON file read/write helpers
```

**Principle Applied:** Single Responsibility Principle + Separation of Concerns + Configurability

**Implementation Steps:**

1. Create the `generate_transcripts/` package directory.
2. Extract `RISK_CLASSES`, `SENTIMENT_LABELS`, `DEFAULT_TOPICS`, all lexicons, and model/URL config into `config.py`.
3. Extract `call_openai_responses`, `extract_output_text`, `generate_with_retries` into `openai_client.py`.
4. Extract `build_call_spec`, `build_prompt` into `prompt_builder.py`.
5. Extract `parse_turns`, `validate_turns`, `score_sentiment_customer_only` into `sentiment.py`.
6. Extract JSON file operations into `io.py`.
7. Create `__main__.py` with just CLI orchestration.
8. Replace the custom `load_dotenv` with `python-dotenv` (already a dependency).
9. Make model name and API URL configurable via CLI args or env vars.

**Expected Outcome:**
- No single file over ~150 lines.
- Sentiment scoring becomes independently testable and reusable.
- OpenAI client can be swapped (e.g., for a different model provider).
- Team members can modify prompt templates without risk of breaking API or scoring logic.

---

## Difficulty Ranking: Easiest to Hardest

| Rank | Refactor | Effort | Risk |
|------|----------|--------|------|
| 1 (Easiest) | **Refactor 2** — Extract shared utilities and constants | Low | Minimal — pure additive extraction + find-and-replace |
| 2 | **Refactor 6** — Decouple export logic from MockService | Low | Minimal — move functions, update 2–3 import sites |
| 3 | **Refactor 4** — Backend repository pattern | Medium | Low — backend has few consumers and good test coverage |
| 4 | **Refactor 5** — Decompose `generate_transcripts.py` | Medium | Low — isolated script with no runtime dependents |
| 5 | **Refactor 3** — Decompose monolithic supervisor pages | Medium-High | Medium — many JSX components to extract; must preserve state flow and visual output |
| 6 (Hardest) | **Refactor 1** — Data access layer with service interface | High | Medium — touches every page; requires careful interface design and context wiring |

**Recommended execution order:** Start with Refactors 2 and 6 (quick wins, reduce duplication immediately), then Refactor 4 (backend cleanup), then Refactor 5 (script cleanup), then Refactor 3 (frontend decomposition), and finally Refactor 1 (service abstraction) which benefits from all prior refactors being in place.

","2026-03-17T19:06:13Z","Mildness10;Mikito-Coder;lawal-mj;iniayolawal;fiyinfoluwaafol","refactor"
128,"OPEN","F5.9: Investigate Call Ingestion Approaches for Analytics Pipeline","## Purpose

The system currently uses manually provided transcripts for testing. We have not yet finalized how real call data (recordings or transcripts) will enter the analytics pipeline.

This task is to research and propose viable approaches for ingesting call data into the system.

## Scope
- Investigate potential call ingestion approaches (e.g., AWS Connect integration, transcript imports, or API-based ingestion)
- Identify available transcript data and required metadata (agent ID, timestamps, etc.)
- Evaluate how each approach would integrate with the backend analytics pipeline
- Propose a recommended approach for the MVP

## Acceptance Criteria
- [ ] Document outlining viable call ingestion approaches
- [ ] Recommended ingestion approach for the MVP
- [ ] Recommended ingestion approach for the MVP

## Notes

The system currently operates with mocked transcripts during development.","2026-03-07T13:16:42Z","fiyinfoluwaafol","documentation;AI Sprint"
117,"OPEN","Look into providing pagination support","### Purpose
The website would need pagination support from the database soon to help ensure we do not query too many results in one request

### Scope

- This could apply to things like the search page for supervisors.
- Also could apply to alerts, examplar calls and briefs 
","2026-03-03T19:33:26Z","lawal-mj","enhancement"
99,"OPEN","Look into better ways to handle notification references in database","### Purpose
We could have situations where notifications are deleted and/or the items they refer to are also deleted. We need to look into ways to handle that gracefully at the database level and not just the API level.","2026-02-16T22:38:16Z","lawal-mj","documentation;enhancement"
98,"OPEN","Explore better ways to store alert rule configurations","### Purpose
Review and refine the current method of alert configurations in the database models and come up with a way that would need need as many NULL columns.


","2026-02-16T22:30:33Z","lawal-mj","documentation"
86,"OPEN","F8.7: Add loading, empty, and error states","### Purpose
Ensure stable UX and demo reliability.

### Scope

- Loading indicator
- “No examples available” messaging
- Basic error handling

### Acceptance Criteria

- [ ] UI handles all states gracefully","2026-01-31T00:12:00Z","iniayolawal",""
85,"OPEN","F8.6: Connect learning library UI to backend API","### Purpose
Make the learning library live.

### Scope

- Fetch learning entries from backend
- Render examples dynamically
- Handle empty state

### Acceptance Criteria

- [ ] UI displays real learning entries
- [ ] Screenshot showing populated library","2026-01-31T00:10:42Z","fiyinfoluwaafol",""
